Path To,Path From,Factor
"['dot', 'bch']","['bch', 'dot']",1.00006972281
"['dot', 'bch']","['bch', 'ltc', 'dot']",0.9998670543916106
"['dot', 'bch']","['bch', 'ltc', 'eth', 'dot']",0.9998667497889618
"['dot', 'bch']","['bch', 'ltc', 'eth', 'btc', 'dot']",1.000149302895479
"['dot', 'bch']","['bch', 'ltc', 'eth', 'btc', 'link', 'dot']",1.0000558597607276
"['dot', 'bch']","['bch', 'ltc', 'eth', 'link', 'dot']",0.9998810548419867
"['dot', 'bch']","['bch', 'ltc', 'eth', 'link', 'btc', 'dot']",1.0001480772133444
"['dot', 'bch']","['bch', 'ltc', 'btc', 'dot']",1.0001469067851707
"['dot', 'bch']","['bch', 'ltc', 'btc', 'eth', 'dot']",1.0001237569336772
"['dot', 'bch']","['bch', 'ltc', 'btc', 'eth', 'link', 'dot']",1.0001380656636931
"['dot', 'bch']","['bch', 'ltc', 'btc', 'link', 'dot']",1.0000534638742857
"['dot', 'bch']","['bch', 'ltc', 'btc', 'link', 'eth', 'dot']",1.0000528590111721
"['dot', 'bch']","['bch', 'ltc', 'link', 'dot']",0.9998797662064286
"['dot', 'bch']","['bch', 'ltc', 'link', 'eth', 'dot']",0.9998791614483727
"['dot', 'bch']","['bch', 'ltc', 'link', 'eth', 'btc', 'dot']",1.0001617180623106
"['dot', 'bch']","['bch', 'ltc', 'link', 'btc', 'dot']",1.0001467882336508
"['dot', 'bch']","['bch', 'ltc', 'link', 'btc', 'eth', 'dot']",1.0001236383849013
"['dot', 'bch']","['bch', 'eth', 'dot']",1.0000197083233595
"['dot', 'bch']","['bch', 'eth', 'ltc', 'dot']",0.9999712445253337
"['dot', 'bch']","['bch', 'eth', 'ltc', 'btc', 'dot']",1.000251126080629
"['dot', 'bch']","['bch', 'eth', 'ltc', 'btc', 'link', 'dot']",1.0001576734326203
"['dot', 'bch']","['bch', 'eth', 'ltc', 'link', 'dot']",0.9999839576647737
"['dot', 'bch']","['bch', 'eth', 'ltc', 'link', 'btc', 'dot']",1.0002510075167557
"['dot', 'bch']","['bch', 'eth', 'btc', 'dot']",1.0003023046545456
"['dot', 'bch']","['bch', 'eth', 'btc', 'ltc', 'dot']",1.0002310471741345
"['dot', 'bch']","['bch', 'eth', 'btc', 'ltc', 'link', 'dot']",1.0002437636165766
"['dot', 'bch']","['bch', 'eth', 'btc', 'link', 'dot']",1.0002088472249644
"['dot', 'bch']","['bch', 'eth', 'btc', 'link', 'ltc', 'dot']",1.0001600585981147
"['dot', 'bch']","['bch', 'eth', 'link', 'dot']",1.000034015564756
"['dot', 'bch']","['bch', 'eth', 'link', 'ltc', 'dot']",0.999985235465922
"['dot', 'bch']","['bch', 'eth', 'link', 'ltc', 'btc', 'dot']",1.000265120937136
"['dot', 'bch']","['bch', 'eth', 'link', 'btc', 'dot']",1.0003010787849071
"['dot', 'bch']","['bch', 'eth', 'link', 'btc', 'ltc', 'dot']",1.000229821391822
"['dot', 'bch']","['bch', 'btc', 'dot']",1.00028835810396
"['dot', 'bch']","['bch', 'btc', 'ltc', 'dot']",1.0002171016170445
"['dot', 'bch']","['bch', 'btc', 'ltc', 'eth', 'dot']",1.0002167969077562
"['dot', 'bch']","['bch', 'btc', 'ltc', 'eth', 'link', 'dot']",1.000231106968891
"['dot', 'bch']","['bch', 'btc', 'ltc', 'link', 'dot']",1.0002298178821898
"['dot', 'bch']","['bch', 'btc', 'ltc', 'link', 'eth', 'dot']",1.0002292129124117
"['dot', 'bch']","['bch', 'btc', 'eth', 'dot']",1.0002652049783707
"['dot', 'bch']","['bch', 'btc', 'eth', 'ltc', 'dot']",1.0002167292828792
"['dot', 'bch']","['bch', 'btc', 'eth', 'ltc', 'link', 'dot']",1.0002294455432907
"['dot', 'bch']","['bch', 'btc', 'eth', 'link', 'dot']",1.0002795157320779
"['dot', 'bch']","['bch', 'btc', 'eth', 'link', 'ltc', 'dot']",1.0002307236581287
"['dot', 'bch']","['bch', 'btc', 'link', 'dot']",1.0001949019773937
"['dot', 'bch']","['bch', 'btc', 'link', 'ltc', 'dot']",1.0001461140307715
"['dot', 'bch']","['bch', 'btc', 'link', 'ltc', 'eth', 'dot']",1.000145809343109
"['dot', 'bch']","['bch', 'btc', 'link', 'eth', 'dot']",1.0001942970287339
"['dot', 'bch']","['bch', 'btc', 'link', 'eth', 'ltc', 'dot']",1.0001458247696433
"['dot', 'bch']","['bch', 'link', 'dot']",1.0002358490391468
"['dot', 'bch']","['bch', 'link', 'ltc', 'dot']",1.0001870590951911
"['dot', 'bch']","['bch', 'link', 'ltc', 'eth', 'dot']",1.000186754395055
"['dot', 'bch']","['bch', 'link', 'ltc', 'eth', 'btc', 'dot']",1.000469397931918
"['dot', 'bch']","['bch', 'link', 'ltc', 'btc', 'dot']",1.0004670010547407
"['dot', 'bch']","['bch', 'link', 'ltc', 'btc', 'eth', 'dot']",1.0004438437942011
"['dot', 'bch']","['bch', 'link', 'eth', 'dot']",1.0002352440657212
"['dot', 'bch']","['bch', 'link', 'eth', 'ltc', 'dot']",1.0001867698222207
"['dot', 'bch']","['bch', 'link', 'eth', 'ltc', 'btc', 'dot']",1.000466711700806
"['dot', 'bch']","['bch', 'link', 'eth', 'btc', 'dot']",1.0005179013053167
"['dot', 'bch']","['bch', 'link', 'eth', 'btc', 'ltc', 'dot']",1.0004466284666744
